,firm,q,booktomarketratio,salesannualgrowth,operatingprofitgrowth,market_value
5735,GPI,2016q2,49.36,0.02052793345265691,0.9932666802693327,42822366.72
5736,GPI,2016q3,63.88,0.008072288167154662,0.8683091377544158,56659771.36
5737,GPI,2016q4,77.94,0.00038539221328126594,26.117826825127334,72499788.0
5738,GPI,2017q1,74.08,-0.03432278198328065,0.9767920917589985,71780556.8
5739,GPI,2017q2,63.32,-0.03962480534234414,0.9473192276088743,61524751.36
5740,GPI,2017q3,72.46,0.06698696786881153,0.9355546022212688,73267711.61999999
5741,GPI,2017q4,70.97,0.09229879055905976,1.1830414602753618,79790293.53999999
5742,GPI,2018q1,65.34,0.13545858015768442,0.9867352159426981,76975681.86
5743,GPI,2018q2,63.0,0.1015146723947915,1.1836042111654432,73874556.0
5744,GPI,2018q3,64.9,-0.040910376550480465,0.9959494573801396,74527655.4
5745,GPI,2018q4,52.72,-0.003969654893756225,0.8204096883379489,57764987.68
5746,GPI,2019q1,64.7,-0.018059276384200684,1.097680653565015,72963031.10000001
5747,GPI,2019q2,81.89,0.021140751944479064,0.889818165162827,95325282.85
5748,GPI,2019q3,92.31,0.07934835506936855,1.0653536257833482,109507353.0
5749,GPI,2019q4,99.99203694855869,0.06964630233923685,1.2939695126851876,125570000.0
5750,GPI,2020q1,44.26,-0.041866188857902165,0.8053180948869789,51987796.0
5751,GPI,2020q2,65.97,-0.2909446053799978,0.8132843303787434,80212923.0
5752,GPI,2020q3,88.39651459316038,-0.0252381105089311,2.2448979591836733,119936391.0
5753,GPI,2020q4,131.14,-0.0389856656167642,1.5527950310559007,190100543.99999997
5754,GPI,2021q1,157.77999238916726,0.1186264308012488,2.184549356223176,248771714.0
5755,GPI,2021q2,154.43,0.7362987987987988,3.3632911392405065,270870220.0
5756,GPI,2021q3,187.88979306750065,0.15449401237004867,1.3197860962566845,360466568.0
5757,GPI,2021q4,195.20930477181832,0.09100030099327783,1.4606666666666666,356315544.0
